Date,S&P Composite 1500,S&P GSCI Copper,S&P GSCI Crude Oil,S&P GSCI Gold,S&P GSCI,S&P U.S. Aggregate Bond Index,S&P U.S. TIPS Index (USD),S&P United States REIT (USD),VolWt
2017-08,59.95544844631518,-4.743538788698709,-32.22978164856687,-19.82622542309148,-41.754303281321,9.887042967758498,0.9266952379632487,32.14846976130374,1.5289369409697722
2017-09,62.170092743659296,-9.349073674322694,-23.027729803160035,-22.640814151520726,-38.31574199180866,9.39314998297044,0.34863566990024353,31.704846633379884,-0.5854340648678398
2017-10,64.33158302260352,-3.634915761598167,-17.715451527606874,-23.728938619848883,-34.361323602687364,9.399912438742366,0.5534536034094817,30.365785970927487,0.9420803522319058
2017-11,67.18408907439922,-4.722422846795226,-12.130627297124041,-23.18455885833255,-32.11845611050242,9.282460479984358,0.6754495815605388,32.813231805621484,0.5652658946111315
2017-12,68.06047041610601,2.3759513658808586,-6.845680219659878,-20.632472780344248,-27.841925629812877,9.70897128407471,1.519839465764794,32.06334833218901,2.022781227752129
2018-01,73.28451544412125,0.6511078500890846,0.15692883644843292,-18.047978037926306,-24.667448238691435,8.677753123764656,0.7588146896806092,27.528078975651045,0.21839581465167932
2018-02,69.52673670797031,-1.8355798770677376,-4.497564910057561,-19.881021932774292,-27.494829289771815,7.879910688598449,-0.1304347748750878,19.74200620436319,-1.929101792741394
2018-03,67.33580007148197,-4.8869190441950465,0.9770093926577568,-19.10883795340568,-25.28331435347937,8.401300953052319,0.7477647437479584,22.87251992223362,0.6833154450153519
2018-04,67.70309847941225,-3.401045171390225,6.661379168185321,-19.66697599970361,-20.26801626687178,7.683961357719852,0.7149849346205217,24.2329873345932,0.5910654110455762
2018-05,70.129209640274,-2.5343861710350506,4.697333423850779,-20.73141564178435,-19.00051230343974,8.092960493419213,1.0260143780901343,28.252112827254656,0.44815477591239394
2018-06,70.64491237813826,-5.634577280359064,15.133912780047508,-24.619873446212683,-17.630871209173492,8.084369255553451,1.6222500882744129,31.846262302351477,-0.25370367498368873
2018-07,74.07041302796009,-10.648439146774766,7.922975523927576,-26.273470396545065,-22.20148375330695,8.216925937727119,1.1873684020699882,32.39397418984979,-1.3965500817447973
2018-08,77.12784159861219,-15.619682917417908,9.649144634647742,-28.42746737445058,-21.283986440326064,8.751707543644352,1.804318372757352,35.32202830718237,-0.19605218867628635
